Identifiant;Commune du lieu d'intervention;Type d'intervention;Numéro de la voie;Type de voie;Nom de la voie;Préfixe de la voie;location
5991;REZE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PORTE DE REZE;;47.1585043558, -1.54138115631
5992;RIAILLE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;JUSTICE;LA;47.5190916673, -1.31394184107
6001;SAFFRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;APSIGUAIS;L';47.4955276171, -1.55924674153
6003;SAFFRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GREHANDAIS;LA;47.492945693, -1.62793044967
6004;SAFFRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D39 RTE DE GRANDCHAMPS;;47.4765057695, -1.5827758298
6007;SAUTRON;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;TOURNE BRIDE;;47.2785867254, -1.71684455938
6009;SAUTRON;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D26 RTE DE TREILLIERES;;47.276435908, -1.66751272412
6021;SAVENAY;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.3639655443, -1.90445885187
6023;SAVENAY;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.3633831128, -1.90339165134
6025;SAVENAY;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.3548660202, -1.88948513908
6026;SAVENAY;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.3548660202, -1.88948513908
6030;SION LES MINES;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BENESTAIS;LA;47.7445812844, -1.57856092141
6041;ST AIGNAN GRANDLIEU;ACCIDENT VOIE PUBLIQUE;;ROUTE;BOIS CHOLET;DU;47.1412630096, -1.6438280466
6043;ST AIGNAN GRANDLIEU;ACCIDENT VOIE PUBLIQUE;;ROUTE;BRETAGNERIE;DE LA;47.1375804969, -1.62393848578
6048;ST ANDRE DES EAUX;ACCIDENT VOIE PUBLIQUE;;ROUTE;SAINT NAZAIRE;DE;47.3103758922, -2.31839852522
6050;ST AUBIN DES CHATEAUX;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D34 RTE DE SION LES MINES;;47.7228608957, -1.49823246207
6057;ST BREVIN LES PINS;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GRAND'VILLE;LA;47.2641023669, -2.136873458
6072;ST COLOMBAN;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PETIT ROQUETTE;LE;46.9950225765, -1.54840633279
6076;ST ETIENNE DE MONTLUC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.2922012391, -1.74382633806
6080;ST ETIENNE DE MONTLUC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D17 RTE DE SAVENAY;;47.2814596231, -1.79811217035
6089;ST ETIENNE DE MONTLUC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;LANDE PETITE;;47.2525003916, -1.74470001299
6094;ST GEREON;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;PRAIRIE;DE LA;47.3718256994, -1.19897867584
6102;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.2551984146, -1.64795673076
6104;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;RUE;SYONNIERE;DE LA;47.2517945325, -1.6445414641
6109;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;ROUTE NATIONALE;N444 SAVENAY - ATLANTIS;;47.2306468773, -1.64267701291
6112;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE INTERIEUR;;47.2303932888, -1.62257182681
6119;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;SALVADOR ALLENDE;;47.2176091248, -1.61373366017
6123;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;PONT,VIADUC,PASSERELLE;VALLEE DE LA PATISSIERE;;47.2067898202, -1.66677067448
6126;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE EXTERIEUR;;47.2055056039, -1.62443189505
6131;ST HERBLAIN;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE EXTERIEUR;;47.1995444391, -1.61730368539
6144;ST HILAIRE DE CHALEONS;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PONT BERANGER;DE;47.1301542116, -1.83017105083
6147;ST HILAIRE DE CHALEONS;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;EGLANTINE;L';47.0862791458, -1.85231050001
5314;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ROUTE;BEZANS;DE;47.312424545, -2.39261889647
5325;GUERANDE;ACCIDENT VOIE PUBLIQUE;;RUE;LENIFEN;DE;47.2950701752, -2.43373578909
5332;HERBIGNAC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D47 RTE DE FEREL;;47.4542945148, -2.31742311854
5333;HERBIGNAC;ACCIDENT VOIE PUBLIQUE;11;RUE;PERE LAURENT;DU;47.4451392058, -2.31720789637
5339;HERBIGNAC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MARLAIS;;47.4094846056, -2.3003442929
5351;HERIC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D16 RTE DE NORT SUR ERDRE;;47.4266426295, -1.61073605872
5352;HERIC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;DURANDAIS;LA;47.4263790956, -1.61845398189
5353;HERIC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D16 RTE DE NORT SUR ERDRE;;47.4266430811, -1.61072282036
5355;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.4216145587, -1.63947960657
5359;HERIC;ACCIDENT VOIE PUBLIQUE;32;RUE;PERRIERE;DE LA;47.4094069809, -1.65605632706
5360;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - RENNES;;47.405616101, -1.64322201522
5374;JANS;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PATIS;LE;47.6319914379, -1.60459165542
5377;JOUE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GICQUELIERE;LA;47.5049509126, -1.4058364024
5386;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PORNIC - GUERANDE;;47.3009154633, -2.36572768183
5389;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;2;ALLEE;CLOS DE LA NOELLE;DU;47.2938661134, -2.38675079443
5400;LA BOISSIERE DU DORE;ACCIDENT VOIE PUBLIQUE;;RUE;ANCENIS;D';47.2364266979, -1.21643500561
5403;LA CHAPELLE BASSE MER;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BOIS VIAUD;LE;47.2765751948, -1.37088669265
5406;LA CHAPELLE BASSE MER;ACCIDENT VOIE PUBLIQUE;;RUE;STADE;DU;47.2692150281, -1.33519624463
